season,game,opp_id,opp_name,home/away,talons score,opp score,conference,division,city,state
2043,35,NYK,Knicks,H,136,94,Eastern,Atlantic,Charlotte,North Carolina
2043,36,BOS,Celtics,A,157,140,Eastern,Atlantic,Boston,Massachusetts
2043,37,DEN,Nuggets,A,133,124,Western,Northwest,Denver,Colorado
2043,38,POR,Blazers,H,123,114,Western,Northwest,Charlotte,North Carolina
2043,39,IND,Pacers,A,114,113,Eastern,Central,Indianapolis,Indiana
2043,40,SAS,Spurs,A,120,91,Western,Southwest,San Antonio,Texas
2043,41,MIN,Timberwolves,H,143,107,Western,Northwest,Charlotte,North Carolina
2043,42,IND,Pacers,H,146,119,Eastern,Central,Charlotte,North Carolina
2043,43,BAL,Barons,A,144,92,Eastern,Atlantic,Baltimore,Maryland
2043,44,KCK,Knights,A,125,110,Western,Northwest,Kansas City,Missouri
2043,45,NOLA,Pelicans,H,144,133,Western,Southwest,Charlotte,North Carolina
2043,46,NYK,Knicks,A,133,141,Eastern,Atlantic,New York City,New York
2043,47,SAC,Kings,H,103,106,Western,Pacific,Charlotte,North Carolina
2043,48,LAC,Clippers,A,109,117,Western,Pacific,Los Angeles,California
2043,49,PHI,76ers,H,165,122,Eastern,Atlantic,Charlotte,North Carolina
2043,50,BKN,Nets,A,125,104,Eastern,Atlantic,Brooklyn,New York
2043,51,STL,Sound,H,171,133,Western,Northwest,Charlotte,North Carolina
2043,52,HOU,Rockets,A,121,124,Western,Southwest,Houston,Texas
2043,53,OKC,Thunder,A,153,124,Western,Southwest,Oklahoma City,Oklahoma
2043,54,DAL,Mavericks,H,147,110,Western,Southwest,Charlotte,North Carolina
2043,55,BKN,Nets,H,122,112,Eastern,Atlantic,Charlotte,North Carolina
2043,56,GSW,Warriors,H,128,116,Western,Pacific,Charlotte,North Carolina
2043,57,BAL,Barons,H,144,152,Eastern,Atlantic,Charlotte,North Carolina
2043,58,ATL,Hawks,A,132,143,Eastern,Southeast,Atlanta,Georgia
2043,59,MIL,Bucks,A,124,123,Western,Northwest,Milwaukee,Wisconsin
2043,60,MIN,Timberwolves,A,145,92,Western,Northwest,Minnenapolis,Minnesota
2043,61,ATL,Hawks,H,132,118,Eastern,Southeast,Charlotte,North Carolina
2043,62,NAS,Stars,H,143,119,Eastern,Central,Charlotte,North Carolina
2043,63,DET,Pistons,A,104,119,Eastern,Central,Detroit,Michigan
2043,64,MIL,Bucks,H,114,136,Western,Northwest,Charlotte,North Carolina
2043,65,MEM,Grizzlies,A,141,114,Western,Southwest,Memphis,Tennessee
2043,66,PHI,76ers,A,137,118,Eastern,Atlantic,Philadelphia,Pennsylvania
2043,67,VIR,Storm,H,121,116,Eastern,Southeast,Charlotte,North Carolina
2043,68,VIR,Storm,A,118,109,Eastern,Southeast,Richmond,Virginia
2043,69,BOS,Celtics,H,120,130,Eastern,Atlantic,Charlotte,North Carolina
2043,70,PHX,Suns,H,157,119,Western,Pacific,Charlotte,North Carolina
2043,71,CHI,Bulls,A,139,112,Eastern,Central,Chicago,Illinois
2043,72,BKN,Nets,A,135,116,Eastern,Atlantic,Brooklyn,New York
2043,73,NYK,Knicks,H,138,104,Eastern,Atlantic,Charlotte,North Carolina
2043,74,CLE,Cavaliers,A,167,117,Eastern,Central,Cleveland,Ohio
2043,75,DAL,Mavericks,A,159,115,Western,Southwest,Dallas,Texas
2043,76,CHI,Bulls,H,144,127,Eastern,Central,Charlotte,North Carolina
2043,77,LAC,Clippers,H,117,124,Western,Pacific,Charlotte,North Carolina
2043,78,STL,Sound,A,112,97,Western,Northwest,St. Louis,Missouri
2043,79,PHX,Suns,A,151,145,Western,Pacific,Phoenix,Arizona
2043,80,ORL,Magic,H,147,98,Eastern,Southeast,Charlotte,North Carolina
2043,81,UTA,Jazz,A,128,130,Western,Pacific,Salt Lake City,Utah
2043,82,TOR,Raptors,H,117,95,Eastern,Atlantic,Charlotte,North Carolina
